tick,wall_time
1,2.981637
2,2.982070
3,2.982276
4,2.982565
5,2.982752
6,2.982906
7,2.983043
8,2.983198
9,2.983356
10,2.983524
11,2.983729
12,2.983929
13,2.985611
14,2.985865
15,2.986035
16,2.986279
17,2.986471
18,2.986640
19,2.986812
20,2.986985
21,2.987160
22,2.987331
23,2.987477
24,2.987633
25,2.987791
26,2.988676
27,2.988860
28,2.989025
29,2.989195
30,2.989461
31,2.989733
32,2.989946
33,2.990108
34,2.990268
35,2.990446
36,2.990859
37,2.991058
38,2.991232
39,2.991394
40,2.991561
41,2.991736
42,2.991912
43,2.992088
44,2.992259
45,2.992417
46,2.992623
47,2.992804
48,2.992962
49,2.993125
50,2.993276
51,2.993430
52,2.993646
53,2.993847
54,2.993988
55,2.994133
56,2.994358
57,2.994550
58,2.994769
59,2.994968
60,2.995114
61,2.995334
62,2.995533
63,2.995699
64,2.995915
65,2.996117
66,2.996282
67,2.996447
68,2.996611
69,2.996845
70,2.997060
71,2.997233
72,2.997392
73,2.997538
74,2.997707
75,2.997871
76,2.998033
77,2.998257
78,2.998455
79,2.998601
80,2.998823
81,2.999018
82,2.999240
83,2.999434
84,2.999584
85,2.999729
86,2.999872
87,3.000090
88,3.000293
89,3.000441
90,3.000604
91,3.000753
92,3.000900
93,3.001045
94,3.001207
95,3.001347
96,3.001514
97,3.001658
98,3.001830
99,3.002025
100,3.002193
101,3.002362
102,3.002520
103,3.002682
104,3.002840
105,3.002988
106,3.003144
107,3.003292
108,3.003509
109,3.003735
110,3.003992
111,3.004265
112,3.004626
113,3.004898
114,3.005149
115,3.005352
116,3.005540
117,3.005718
118,3.005896
119,3.006064
120,3.006214
121,3.042472
122,3.042722
123,3.042945
124,3.043152
125,3.043374
126,3.043568
127,3.043750
128,3.043923
129,3.044095
130,3.044294
131,3.044495
132,3.048952
133,3.068125
134,3.089944
135,3.109591
136,3.129587
137,3.149406
138,3.169257
139,3.191940
140,3.208702
141,3.231237
142,3.249332
143,3.270965
144,3.291040
145,3.310858
146,3.330948
147,3.349030
148,3.369129
149,3.388612
150,3.408630
151,3.429294
152,3.449544
153,3.469177
154,3.490474
155,3.508845
156,3.531586
157,3.549218
158,3.570445
159,3.588964
160,3.600173
161,3.603638
162,3.606824
163,3.610481
164,3.614180
165,3.617845
166,3.621525
167,3.625144
168,3.629205
169,3.633427
170,3.637445
171,3.641295
172,3.645200
173,3.648953
174,3.652693
175,3.656333
176,3.659876
177,3.663423
178,3.666960
179,3.670538
180,3.674119
181,3.677955
182,3.681345
183,3.684901
184,3.689137
185,3.708374
186,3.728788
187,3.748560
188,3.768756
189,3.788728
190,3.808707
191,3.828589
192,3.848436
193,3.868139
194,3.887855
195,3.910431
196,3.930062
197,3.949882
198,3.969876
199,3.989809
200,4.009713
201,4.029984
202,4.049967
203,4.069696
204,4.089536
205,4.109418
206,4.129532
207,4.149520
208,4.169314
209,4.189535
210,4.209936
211,4.229672
212,4.250156
213,4.268466
214,4.288572
215,4.308666
216,4.328796
217,4.349352
218,4.369543
219,4.389689
220,4.409903
221,4.430164
222,4.450382
223,4.468133
224,4.490307
225,4.507926
226,4.530299
227,4.550184
228,4.570068
229,4.589690
230,4.609604
231,4.629104
232,4.648685
233,4.668359
234,4.688375
235,4.708324
236,4.727936
237,4.750264
238,4.770421
239,4.790077
240,4.809752
241,4.829235
242,4.848875
243,4.869128
244,4.888948
245,4.908648
246,4.928452
247,4.948199
248,4.968210
249,4.987947
250,5.010410
251,5.030271
252,5.050067
253,5.069716
254,5.089890
255,5.109884
256,5.129558
257,5.149508
258,5.169391
259,5.189688
260,5.209834
261,5.230186
262,5.248308
263,5.269093
264,5.290117
265,5.310608
266,5.328369
267,5.348765
268,5.368973
269,5.389316
270,5.409410
271,5.429571
272,5.449962
273,5.470387
274,5.487951
275,5.508003
276,5.528033
277,5.547850
278,5.570333
279,5.590143
280,5.610355
281,5.630132
282,5.649910
283,5.669464
284,5.690402
285,5.710210
286,5.729764
287,5.749290
288,5.769339
289,5.789227
290,5.808985
291,5.829980
292,5.849762
293,5.869628
294,5.889581
295,5.909267
296,5.929080
297,5.948779
298,5.968478
299,5.988531
300,6.008852
301,6.030054
302,6.050436
303,6.069919
304,6.089864
305,6.109978
306,6.130037
307,6.151013
308,6.168032
309,6.188883
310,6.210185
311,6.230491
312,6.250436
313,6.271071
314,6.288599
315,6.308456
316,6.329064
317,6.349131
318,6.368530
319,6.387805
320,6.409733
321,6.427876
322,6.448041
323,6.467874
324,6.490652
325,6.510422
326,6.530303
327,6.550332
328,6.570211
329,6.590120
330,6.609892
331,6.630186
332,6.650122
333,6.669782
334,6.689548
335,6.707792
336,6.727746
337,6.750475
338,6.770231
339,6.790050
340,6.809454
341,6.829281
342,6.848924
343,6.868838
344,6.888624
345,6.908420
346,6.928317
347,6.948069
348,6.968112
349,6.987900
350,7.010438
351,7.027727
352,7.047739
353,7.070306
354,7.090162
355,7.110084
356,7.130428
357,7.150386
358,7.170228
359,7.190055
360,7.210028
361,7.229937
362,7.249853
363,7.269614
364,7.289427
365,7.309193
366,7.329080
367,7.348833
368,7.368398
369,7.388177
370,7.408020
371,7.427855
372,7.450214
373,7.470034
374,7.489779
375,7.509595
376,7.529380
377,7.549177
378,7.568885
379,7.588857
380,7.608788
381,7.628571
382,7.648363
383,7.668232
384,7.687922
385,7.707733
386,7.728424
387,7.748629
388,7.768263
389,7.788052
390,7.807762
391,7.830312
